baseline_ns,cam5,cam6
10418616018935,10418616018935,10418616934444
10418616018935,10418616018935,10418616934444
10418641610050,10418641610050,10418646576004
10418641610050,10418641610050,10418646576004
10418641610050,10418641610050,10418646523506,10418646576004
10418641610050,10418641610050,10418646523506,10418646576004
10418641610050,10418641610050,10418646523506,10418646576004
10418646523506,10418646523506,10418646576004
10418646523506,10418646523506,10418646576004
10418674912205,10418674912205,10418680706296
10418674912205,10418674912205,10418680706296
10418674912205,10418674912205,10418679238061,10418680706296
10418674912205,10418674912205,10418679238061,10418680706296
10418674912205,10418674912205,10418679238061,10418680706296
10418679238061,10418679238061,10418680706296
10418679238061,10418679238061,10418680706296
10418708154922,10418708154922,10418712831578
10418708154922,10418708154922,10418712831578
10418708154922,10418708154922,10418712831578,10418712881811
10418708154922,10418708154922,10418712831578,10418712881811
10418708154922,10418708154922,10418712831578,10418712881811
10418708154922,10418708154922,10418712831578
10418708154922,10418708154922,10418712831578
10418745977090,10418745977090,10418748115442
10418745977090,10418745977090,10418748115442
10418745977090,10418746412919,10418745977090,10418748115442
10418745977090,10418746412919,10418745977090,10418748115442
10418745977090,10418746412919,10418745977090,10418748115442
10418745977090,10418745977090,10418748115442
10418745977090,10418745977090,10418748115442
10418774671898,10418774671898,10418780163149
10418774671898,10418774671898,10418780163149
10418774671898,10418774671898,10418780163149,10418780200931
10418774671898,10418774671898,10418780163149,10418780200931
10418774671898,10418774671898,10418780163149,10418780200931
10418780163149,10418780163149,10418780200931
10418780163149,10418780163149,10418780200931
10418807920271,10418807920271,10418813251068
10418807920271,10418807920271,10418813251068
10418807920271,10418807920271,10418813340500,10418813251068
10418807920271,10418807920271,10418813340500,10418813251068
10418807920271,10418807920271,10418813340500,10418813251068
10418813251068,10418813340500,10418813251068
10418813251068,10418813340500,10418813251068
10418841383905,10418841383905,10418846507463
10418841383905,10418841383905,10418846507463
10418841383905,10418841383905,10418846507463,10418846515472
10418841383905,10418841383905,10418846507463,10418846515472
10418841383905,10418841383905,10418846507463,10418846515472
10418846507463,10418846507463,10418846515472
10418846507463,10418846507463,10418846515472
10418876087074,10418876087074,10418879455312
10418876087074,10418876087074,10418879455312
10418876087074,10418876087074,10418879455312,10418881256114
10418876087074,10418876087074,10418879455312,10418881256114
10418876087074,10418876087074,10418879455312,10418881256114
10418879455312,10418879455312,10418881256114
10418879455312,10418879455312,10418881256114
10418908039923,10418908039923,10418915274206
10418908039923,10418908039923,10418915274206
10418908039923,10418908039923,10418915337419,10418915274206
10418908039923,10418908039923,10418915337419,10418915274206
10418908039923,10418908039923,10418915337419,10418915274206
10418908039923,10418908039923,10418915274206
10418908039923,10418908039923,10418915274206
10418941646835,10418941646835,10418946967365
10418941646835,10418941646835,10418946967365
10418941646835,10418941646835,10418946967365,10418949360583
10418941646835,10418941646835,10418946967365,10418949360583
10418941646835,10418941646835,10418946967365,10418949360583
10418946967365,10418946967365,10418949360583
10418946967365,10418946967365,10418949360583
10418975412099,10418975412099,10418978930537
10418975412099,10418975412099,10418978930537
10418975412099,10418975412099,10418978930537,10418980585491
10418975412099,10418975412099,10418978930537,10418980585491
10418975412099,10418975412099,10418978930537,10418980585491
10418978930537,10418978930537,10418980585491
10418978930537,10418978930537,10418980585491
10419008030371,10419008030371,10419013145084
10419008030371,10419008030371,10419013145084
10419008030371,10419008030371,10419013145084,10419013502463
10419008030371,10419008030371,10419013145084,10419013502463
10419008030371,10419008030371,10419013145084,10419013502463
10419013145084,10419013145084,10419013502463
10419013145084,10419013145084,10419013502463
10419041254688,10419041254688,10419045468038
10419041254688,10419041254688,10419045468038
10419041254688,10419041254688,10419045468038,10419045739079
10419041254688,10419041254688,10419045468038,10419045739079
10419041254688,10419041254688,10419045468038,10419045739079
10419045468038,10419045468038,10419045739079
10419045468038,10419045468038,10419045739079
10419074610530,10419074610530,10419080668742
10419074610530,10419074610530,10419080668742
10419074610530,10419074610530,10419080668742,10419080784499
10419074610530,10419074610530,10419080668742,10419080784499
10419074610530,10419074610530,10419080668742,10419080784499
10419080668742,10419080668742,10419080784499
10419080668742,10419080668742,10419080784499
10419107923179,10419107923179,10419114141589
10419107923179,10419107923179,10419114141589
10419107923179,10419107923179,10419114141589,10419114805135
10419107923179,10419107923179,10419114141589,10419114805135
10419107923179,10419107923179,10419114141589,10419114805135
10419114141589,10419114141589,10419114805135
10419114141589,10419114141589,10419114805135
10419143028941,10419143028941,10419145752878
10419143028941,10419143028941,10419145752878
10419143028941,10419143028941,10419145752878,10419147019607
10419143028941,10419143028941,10419145752878,10419147019607
10419143028941,10419143028941,10419145752878,10419147019607
10419145752878,10419145752878,10419147019607
10419145752878,10419145752878,10419147019607
10419174601532,10419174601532,10419179907761
10419174601532,10419174601532,10419179907761
10419174601532,10419174601532,10419186451706,10419179907761
10419174601532,10419174601532,10419186451706,10419179907761
10419174601532,10419174601532,10419186451706,10419179907761
10419179907761,10419186451706,10419179907761
10419179907761,10419186451706,10419179907761
10419207965699,10419207965699,10419212288747
10419207965699,10419207965699,10419212288747
10419207965699,10419207965699,10419212288747,10419214077763
10419207965699,10419207965699,10419212288747,10419214077763
10419207965699,10419207965699,10419212288747,10419214077763
10419212288747,10419212288747,10419214077763
10419212288747,10419212288747,10419214077763
10419241270859,10419241270859,10419246294414
10419241270859,10419241270859,10419246294414
10419241270859,10419241270859,10419246294414,10419248573646
10419241270859,10419241270859,10419246294414,10419248573646
10419241270859,10419241270859,10419246294414,10419248573646
10419246294414,10419246294414,10419248573646
10419246294414,10419246294414,10419248573646
10419276178745,10419276178745,10419279686674
10419276178745,10419276178745,10419279686674
10419276178745,10419276178745,10419279686674,10419281398385
10419276178745,10419276178745,10419279686674,10419281398385
10419276178745,10419276178745,10419279686674,10419281398385
10419279686674,10419279686674,10419281398385
10419279686674,10419279686674,10419281398385
10419307788298,10419307788298,10419312030833
10419307788298,10419307788298,10419312030833
10419307788298,10419307788298,10419312030833,10419313267612
10419307788298,10419307788298,10419312030833,10419313267612
10419307788298,10419307788298,10419312030833,10419313267612
10419312030833,10419312030833,10419313267612
10419312030833,10419312030833,10419313267612
10419341736305,10419341736305,10419346686057
10419341736305,10419341736305,10419346686057
10419341736305,10419341736305,10419346657199,10419346686057
10419341736305,10419341736305,10419346657199,10419346686057
10419341736305,10419341736305,10419346657199,10419346686057
10419346657199,10419346657199,10419346686057
10419346657199,10419346657199,10419346686057
10419374580727,10419374580727,10419380952990
10419374580727,10419374580727,10419380952990
10419374580727,10419374580727,10419379070680,10419380952990
10419374580727,10419374580727,10419379070680,10419380952990
10419374580727,10419374580727,10419379070680,10419380952990
10419379070680,10419379070680,10419380952990
10419379070680,10419379070680,10419380952990
10419407776833,10419407776833,10419412209455
10419407776833,10419407776833,10419412209455
10419407776833,10419407776833,10419412209455,10419413607625
10419407776833,10419407776833,10419412209455,10419413607625
10419407776833,10419407776833,10419412209455,10419413607625
10419412209455,10419412209455,10419413607625
10419412209455,10419412209455,10419413607625
10419441006841,10419441006841,10419447163537
10419441006841,10419441006841,10419447163537
10419441006841,10419441006841,10419447163537,10419447239388
10419441006841,10419441006841,10419447163537,10419447239388
10419441006841,10419441006841,10419447163537,10419447239388
10419447163537,10419447163537,10419447239388
10419447163537,10419447163537,10419447239388
10419475107930,10419475107930,10419480669564
10419475107930,10419475107930,10419480669564
10419475107930,10419475107930,10419480590275,10419480669564
10419475107930,10419475107930,10419480590275,10419480669564
10419475107930,10419475107930,10419480590275,10419480669564
10419480590275,10419480590275,10419480669564
10419480590275,10419480590275,10419480669564
10419507946343,10419507946343,10419514308540
10419507946343,10419507946343,10419514308540
10419507946343,10419507946343,10419514039341,10419514308540
10419507946343,10419507946343,10419514039341,10419514308540
10419507946343,10419507946343,10419514039341,10419514308540
10419514039341,10419514039341,10419514308540
10419514039341,10419514039341,10419514308540
10419541339441,10419541339441,10419547199449
10419541339441,10419541339441,10419547199449
10419541339441,10419541339441,10419546794230,10419547199449
10419541339441,10419541339441,10419546794230,10419547199449
10419541339441,10419541339441,10419546794230,10419547199449
10419546794230,10419546794230,10419547199449
10419546794230,10419546794230,10419547199449
10419574550142,10419574550142,10419579874310
10419574550142,10419574550142,10419579874310
10419574550142,10419574550142,10419578630511,10419579874310
10419574550142,10419574550142,10419578630511,10419579874310
10419574550142,10419574550142,10419578630511,10419579874310
10419578630511,10419578630511,10419579874310
10419578630511,10419578630511,10419579874310
10419607749001,10419607749001,10419612961624
10419607749001,10419607749001,10419612961624
10419607749001,10419607749001,10419612961624,10419615024621
10419607749001,10419607749001,10419612961624,10419615024621
10419607749001,10419607749001,10419612961624,10419615024621
10419612961624,10419612961624,10419615024621
10419612961624,10419612961624,10419615024621
10419640991431,10419640991431,10419649357623
10419640991431,10419640991431,10419649357623
10419640991431,10419640991431,10419649552285,10419649357623
